 Edad |         qx |         px |           lx |           dx |           Cx |           Dx |           Mx |           Nx
------------------------------------------------------------------------------------------------------------------------
   12 |   0.000396 |   0.999604 |      1000000 |          396 |      210.007 |   556837.418 |    36260.840 | 10932108.152
   13 |   0.000427 |   0.999573 |       999604 |          427 |      215.579 |   530111.343 |    36050.832 | 10375270.734
   14 |   0.000460 |   0.999540 |       999177 |          460 |      221.086 |   504652.367 |    35835.254 |  9845159.391
   15 |   0.000495 |   0.999505 |       998718 |          494 |      226.474 |   480400.217 |    35614.168 |  9340507.023
   16 |   0.000533 |   0.999467 |       998223 |          532 |      232.133 |   457297.541 |    35387.693 |  8860106.807
   17 |   0.000575 |   0.999425 |       997691 |          574 |      238.373 |   435289.335 |    35155.561 |  8402809.265
   18 |   0.000619 |   0.999381 |       997117 |          617 |      244.253 |   414322.899 |    34917.188 |  7967519.930
   19 |   0.000667 |   0.999333 |       996500 |          665 |      250.505 |   394348.984 |    34672.935 |  7553197.031
   20 |   0.000718 |   0.999282 |       995836 |          715 |      256.647 |   375319.955 |    34422.429 |  7158848.048
   21 |   0.000773 |   0.999227 |       995121 |          769 |      262.961 |   357190.929 |    34165.782 |  6783528.093
   22 |   0.000833 |   0.999167 |       994351 |          828 |      269.669 |   339918.877 |    33902.821 |  6426337.164
   23 |   0.000897 |   0.999103 |       993523 |          891 |      276.329 |   323462.594 |    33633.152 |  6086418.287
   24 |   0.000966 |   0.999034 |       992632 |          959 |      283.161 |   307783.284 |    33356.823 |  5762955.693
   25 |   0.001041 |   0.998959 |       991673 |         1032 |      290.334 |   292843.777 |    33073.662 |  5455172.408
   26 |   0.001121 |   0.998879 |       990641 |         1111 |      297.448 |   278608.501 |    32783.328 |  5162328.632
   27 |   0.001207 |   0.998793 |       989530 |         1194 |      304.674 |   265043.982 |    32485.881 |  4883720.130
   28 |   0.001300 |   0.998700 |       988336 |         1285 |      312.146 |   252118.166 |    32181.206 |  4618676.148
   29 |   0.001400 |   0.998600 |       987051 |         1382 |      319.734 |   239800.392 |    31869.060 |  4366557.983
   30 |   0.001508 |   0.998492 |       985669 |         1486 |      327.540 |   228061.592 |    31549.326 |  4126757.590
   31 |   0.001624 |   0.998376 |       984183 |         1598 |      335.432 |   216873.977 |    31221.786 |  3898695.998
   32 |   0.001749 |   0.998251 |       982584 |         1719 |      343.489 |   206211.213 |    30886.354 |  3681822.021
   33 |   0.001884 |   0.998116 |       980866 |         1848 |      351.766 |   196048.142 |    30542.866 |  3475610.809
   34 |   0.002029 |   0.997971 |       979018 |         1986 |      360.120 |   186360.750 |    30191.099 |  3279562.666
   35 |   0.002186 |   0.997814 |       977031 |         2136 |      368.760 |   177126.309 |    29830.979 |  3093201.917
   36 |   0.002354 |   0.997646 |       974896 |         2295 |      377.364 |   168322.962 |    29462.219 |  2916075.608
   37 |   0.002535 |   0.997465 |       972601 |         2466 |      386.117 |   159930.219 |    29084.855 |  2747752.646
   38 |   0.002730 |   0.997270 |       970135 |         2648 |      395.014 |   151928.377 |    28698.738 |  2587822.427
   39 |   0.002940 |   0.997060 |       967487 |         2844 |      404.036 |   144298.679 |    28303.724 |  2435894.049
   40 |   0.003166 |   0.996834 |       964642 |         3054 |      413.158 |   137023.277 |    27899.688 |  2291595.371
   41 |   0.003410 |   0.996590 |       961588 |         3279 |      422.467 |   130085.201 |    27486.530 |  2154572.094
   42 |   0.003672 |   0.996328 |       958309 |         3519 |      431.786 |   123468.200 |    27064.063 |  2024486.893
   43 |   0.003954 |   0.996046 |       954790 |         3775 |      441.180 |   117156.976 |    26632.277 |  1901018.692
   44 |   0.004258 |   0.995742 |       951015 |         4049 |      450.687 |   111136.893 |    26191.097 |  1783861.716
   45 |   0.004585 |   0.995415 |       946966 |         4342 |      460.220 |   105393.974 |    25740.411 |  1672724.823
   46 |   0.004938 |   0.995062 |       942624 |         4655 |      469.886 |    99914.993 |    25280.190 |  1567330.849
   47 |   0.005317 |   0.994683 |       937969 |         4987 |      479.478 |    94687.250 |    24810.304 |  1467415.857
   48 |   0.005725 |   0.994275 |       932982 |         5341 |      489.072 |    89698.855 |    24330.826 |  1372728.607
   49 |   0.006164 |   0.993836 |       927641 |         5718 |      498.629 |    84938.409 |    23841.754 |  1283029.752
   50 |   0.006637 |   0.993363 |       921923 |         6119 |      508.174 |    80395.094 |    23343.125 |  1198091.344
   51 |   0.007145 |   0.992855 |       915804 |         6543 |      517.561 |    76058.582 |    22834.951 |  1117696.250
   52 |   0.007693 |   0.992307 |       909260 |         6995 |      526.928 |    71919.184 |    22317.391 |  1041637.668
   53 |   0.008282 |   0.991718 |       902266 |         7473 |      536.102 |    67967.533 |    21790.463 |   969718.483
   54 |   0.008915 |   0.991085 |       894793 |         7977 |      545.045 |    64194.882 |    21254.361 |   901750.950
   55 |   0.009597 |   0.990403 |       886816 |         8511 |      553.819 |    60592.938 |    20709.316 |   837556.068
   56 |   0.010330 |   0.989670 |       878305 |         9073 |      562.284 |    57153.741 |    20155.496 |   776963.130
   57 |   0.011119 |   0.988881 |       869232 |         9665 |      570.456 |    53869.850 |    19593.212 |   719809.389
   58 |   0.011967 |   0.988033 |       859567 |        10286 |      578.225 |    50734.163 |    19022.756 |   665939.539
   59 |   0.012879 |   0.987121 |       849281 |        10938 |      585.566 |    47740.026 |    18444.532 |   615205.377
   60 |   0.013860 |   0.986140 |       838343 |        11619 |      592.431 |    44881.126 |    17858.966 |   567465.351
   61 |   0.014914 |   0.985086 |       826723 |        12330 |      598.712 |    42151.498 |    17266.535 |   522584.225
   62 |   0.016048 |   0.983952 |       814394 |        13069 |      604.407 |    39545.572 |    16667.823 |   480432.727
   63 |   0.017265 |   0.982735 |       801324 |        13835 |      609.340 |    37058.043 |    16063.416 |   440887.154
   64 |   0.018574 |   0.981426 |       787489 |        14627 |      613.544 |    34684.034 |    15454.076 |   403829.111
   65 |   0.019980 |   0.980020 |       772863 |        15442 |      616.885 |    32418.869 |    14840.532 |   369145.077
   66 |   0.021490 |   0.978510 |       757421 |        16277 |      619.285 |    30258.229 |    14223.648 |   336726.208
   67 |   0.023111 |   0.976889 |       741144 |        17129 |      620.653 |    28198.076 |    13604.362 |   306467.979
   68 |   0.024851 |   0.975149 |       724015 |        17993 |      620.912 |    26234.657 |    12983.709 |   278269.903
   69 |   0.026720 |   0.973280 |       706023 |        18865 |      620.018 |    24364.476 |    12362.798 |   252035.246
   70 |   0.028724 |   0.971276 |       687158 |        19738 |      617.819 |    22584.245 |    11742.780 |   227670.770
   71 |   0.030874 |   0.969126 |       667420 |        20606 |      614.275 |    20890.986 |    11124.961 |   205086.525
   72 |   0.033180 |   0.966820 |       646814 |        21461 |      609.308 |    19281.902 |    10510.686 |   184195.540
   73 |   0.035651 |   0.964349 |       625353 |        22294 |      602.821 |    17754.408 |     9901.378 |   164913.637
   74 |   0.038300 |   0.961700 |       603058 |        23097 |      594.786 |    16306.139 |     9298.557 |   147159.229
   75 |   0.041136 |   0.958864 |       579961 |        23857 |      585.106 |    14934.870 |     8703.771 |   130853.090
   76 |   0.044174 |   0.955826 |       556104 |        24565 |      573.782 |    13638.581 |     8118.665 |   115918.219
   77 |   0.047424 |   0.952576 |       531539 |        25208 |      560.748 |    12415.343 |     7544.884 |   102279.639
   78 |   0.050902 |   0.949098 |       506331 |        25773 |      546.028 |    11263.388 |     6984.136 |    89864.296
   79 |   0.054619 |   0.945381 |       480558 |        26248 |      529.597 |    10181.009 |     6438.108 |    78600.908
   80 |   0.058592 |   0.941408 |       454310 |        26619 |      511.514 |     9166.602 |     5908.512 |    68419.899
   81 |   0.062834 |   0.937166 |       427691 |        26874 |      491.816 |     8218.583 |     5396.998 |    59253.297
   82 |   0.067362 |   0.932638 |       400818 |        27000 |      470.598 |     7335.407 |     4905.182 |    51034.714
   83 |   0.072190 |   0.927810 |       373818 |        26986 |      447.956 |     6515.504 |     4434.584 |    43699.307
   84 |   0.077337 |   0.922663 |       346832 |        26823 |      424.049 |     5757.285 |     3986.628 |    37183.804
   85 |   0.082817 |   0.917183 |       320009 |        26502 |      399.027 |     5059.080 |     3562.579 |    31426.518
   86 |   0.088649 |   0.911351 |       293507 |        26019 |      373.098 |     4419.145 |     3163.553 |    26367.438
   87 |   0.094850 |   0.905150 |       267488 |        25371 |      346.484 |     3835.612 |     2790.455 |    21948.293
   88 |   0.101436 |   0.898564 |       242116 |        24559 |      319.425 |     3306.480 |     2443.971 |    18112.682
   89 |   0.108424 |   0.891576 |       217557 |        23588 |      292.188 |     2829.604 |     2124.546 |    14806.202
   90 |   0.115832 |   0.884168 |       193969 |        22468 |      265.054 |     2402.673 |     1832.359 |    11976.598
   91 |   0.123677 |   0.876323 |       171501 |        21211 |      238.309 |     2023.206 |     1567.305 |     9573.925
   92 |   0.131973 |   0.868027 |       150290 |        19834 |      212.232 |     1688.554 |     1328.996 |     7550.719
   93 |   0.140737 |   0.859263 |       130456 |        18360 |      187.102 |     1395.915 |     1116.764 |     5862.164
   94 |   0.149983 |   0.850017 |       112096 |        16812 |      163.173 |     1142.341 |      929.663 |     4466.249
   95 |   0.159723 |   0.840277 |        95283 |        15219 |      140.674 |      924.771 |      766.490 |     3323.908
   96 |   0.169970 |   0.830030 |        80065 |        13609 |      119.798 |      740.061 |      625.816 |     2399.137
   97 |   0.180733 |   0.819267 |        66456 |        12011 |      100.698 |      585.021 |      506.018 |     1659.077
   98 |   0.192020 |   0.807980 |        54445 |        10455 |       83.477 |      456.466 |      405.320 |     1074.055
   99 |   0.203837 |   0.796163 |        43991 |         8967 |       68.189 |      351.252 |      321.843 |      617.590
  100 |   1.000000 |   0.000000 |        35024 |        35024 |      253.655 |      266.337 |      253.655 |      266.337
